project_id,repo_url,effort_since,effort_until,pm_mid_current,pm_mid_commitonly_recheck,n_commits,n_prs,n_issues,n_issue_comments,n_review_comments,contributors_all,contributors_committing,active_days_union,pm_mid_rich,pm_low_rich,pm_rgb,status,note
admeta,https://github.com/AdMetaNetwork/admeta,2021-11-12,2022-12-13,0.3684,,59,16,4,0,1,1,1,25,1.3158,0.5452,1.3158,OK,
Afloat,https://github.com/hashed-io/afloat-client-api,2022-08-30,2023-02-09,1.0,,55,10,1,0,4,5,5,28,1.4737,0.4018,1.4737,OK,
agridot,https://github.com/kacena123/AgriDot,2024-12-06,2024-12-08,0.0,,4,0,0,0,0,1,1,2,0.1053,0.0473,0.1053,OK,
Aisland-DocSig,https://github.com/aisland-dao/docsig,2023-07-02,2023-10-14,1.7368,,123,0,71,66,0,3,3,41,2.1579,1.1398,2.1579,OK,
ajuna,https://github.com/ajuna-network/Ajuna.SDK,2022-04-02,2023-02-28,1.0526,,83,0,0,0,0,3,3,34,1.7895,0.5957,1.7895,OK,
AlgoCash,https://github.com/ReserveLabs/AlgoCash,2021-01-22,2021-06-30,0.2632,,20,6,0,0,0,4,4,8,0.4211,0.1377,0.4211,OK,
anagolay-project-idiyanale-phase,https://github.com/anagolay/w3f-grant-support-repo,2022-02-11,2022-05-30,0.0526,,6,0,0,0,0,1,1,4,0.2105,0.0533,0.2105,OK,
anchor,https://github.com/ff13dfly/Anchor,2021-10-08,2023-03-13,2.6842,,132,0,0,0,0,1,1,56,2.9474,1.2415,2.9474,OK,
apron-network,https://github.com/Apron-Network/apron-node,2021-01-23,2021-03-09,0.1579,,7,0,0,0,0,4,4,5,0.2632,0.0659,0.2632,OK,
ares_protocol,https://github.com/aresprotocols/ares-module,2020-11-23,2021-03-02,1.6316,,50,1,0,0,0,6,6,32,1.6842,0.4629,1.6842,OK,
ArtZero_InkWhale,https://github.com/ArtZero-io/Contracts,2022-03-05,2023-03-29,11.3684,,544,2,17,23,0,8,8,227,11.9474,4.6792,11.9474,OK,
assemblyscript-scale-codec,https://github.com/LimeChain/as-scale-codec,2020-05-04,2020-06-08,1.6316,,144,23,16,1,59,2,2,36,1.8947,0.7783,1.8947,OK,
Awesome-Polka,https://github.com/tolgayayci/awesome-polka,2023-04-24,2023-04-24,0.0,,1,0,0,0,0,1,1,1,0.0526,0.0132,0.0526,OK,
BandersnatchVRF,https://github.com/Esscrypt/bandersnatch-vrf,2025-12-18,2025-12-19,0.0526,,6,0,0,0,0,1,1,2,0.1053,0.0507,0.1053,OK,
bit_country,https://github.com/bit-country/Bit-Country-Blockchain,2020-09-15,2021-12-06,12.9474,,776,132,15,46,31,12,12,322,16.9474,6.0903,16.7895,OK,
blackprint_js,https://github.com/Blackprint/Blackprint,2020-02-18,2022-08-29,12.8421,,655,0,2,4,0,3,3,249,13.1053,5.3267,12.8421,OK,
bright_tresury,https://github.com/bright/bright-tresury,2020-10-06,2021-12-29,20.7895,,1026,0,0,0,0,8,8,398,20.9474,7.9592,20.6842,OK,
calamar,https://github.com/topmonks/calamar,2022-06-20,2023-12-06,8.3684,,589,65,112,59,28,11,11,197,10.3684,4.3391,10.2632,OK,
candle_auction_ink,https://github.com/agryaznov/candle-auction-ink,2021-10-19,2021-12-17,1.5263,,73,3,0,2,3,2,2,32,1.6842,0.6894,1.6842,OK,
canyon_network_phrase,https://github.com/canyon-network/canyon,2021-06-20,2021-08-19,1.2105,,35,35,14,0,0,1,1,33,1.7368,0.8586,1.7368,OK,
centrifuge-gsrpc-v2,https://github.com/centrifuge/go-substrate-rpc-client,2019-06-06,2023-06-26,2.8947,,154,203,150,756,299,135,135,645,33.9474,9.4756,33.9474,OK,
Cere_Turnkey_Private_Blockchain_Network,https://github.com/Cerebellum-Network/private-standalone-network-node,2020-10-09,2021-01-16,2.3158,,135,48,0,1,10,8,8,67,3.5263,1.0594,3.5263,OK,
ces_data_store,https://github.com/CESSProject/data-store-pallet,2022-03-31,2022-05-07,0.3684,,20,2,0,0,0,4,4,10,0.5263,0.137,0.5263,OK,
CESS,https://github.com/Cumulus2021/cess,2021-09-30,2022-01-15,0.4737,,67,4,0,0,0,6,6,26,1.3684,0.4047,1.3684,OK,
chainviz,https://github.com/helikon-labs/chainviz,2023-07-16,2023-09-18,1.9474,,105,19,1,32,0,1,1,38,2.0,0.839,1.7895,OK,
choko-wallet,https://github.com/choko-wallet/wallet-app,2022-07-12,2022-11-15,5.3684,,201,12,0,0,0,3,3,105,5.5263,1.8452,5.4211,OK,
CILA-omnichain-infrastructure,https://github.com/Collective-Intelligence-Labs/cila-substrate,2019-08-28,2023-08-14,4.4737,,202,16,0,10,0,44,44,164,8.6316,2.2305,8.6316,OK,
clover_january21,https://github.com/clover-network/clover,2020-09-01,2021-01-28,4.0526,,198,1,0,0,0,4,4,86,4.5263,1.6311,4.1579,OK,
Cogency,https://github.com/CogencyWeb3/Web3MediaPilot,2022-09-22,2023-03-02,0.0,,221,0,1,0,0,1,1,13,0.6842,0.2892,0.6842,OK,
CoinFabrik_On_Ink_Integration_Tests,https://github.com/CoinFabrik/on-ink-integration-tests,2023-08-22,2023-12-06,3.0526,,273,37,84,61,30,10,10,116,6.1053,1.66,6.1053,OK,
Contract_wizard,https://github.com/protofire/polkadot-contract-wizard,2023-01-10,2023-11-20,5.1579,,250,295,1,375,62,7,7,180,9.4737,3.2793,9.4737,OK,
CoongWallet,https://github.com/CoongCrafts/coong-wallet,2022-12-25,2023-06-15,7.7368,,625,28,31,28,146,2,2,163,8.5789,3.7663,7.9474,OK,
CosmWasmVM_CoreProduct,https://github.com/CosmWasm/cosmwasm,2019-10-01,2023-09-13,39.6842,,1500,452,268,1500,1500,151,151,1267,66.6842,24.2252,66.1053,OK,
c++polkadot-light-client,https://github.com/eqlabs/polkadot-light-client,2022-08-31,2022-09-26,0.3684,,26,9,16,6,25,4,4,20,1.0526,0.384,1.0526,OK,
create-substrate-app,https://github.com/philoniare/create-substrate-app,2024-03-03,2024-03-05,0.1053,,18,0,0,0,0,1,1,3,0.1579,0.0835,0.1579,OK,
crossbow,https://github.com/dodorare/crossbow,2020-09-01,2022-01-09,9.4211,,338,18,39,4,0,7,7,203,10.6842,3.5648,10.6842,OK,
cryptex,https://github.com/ideal-lab5/smoldot,2020-02-20,2023-08-17,40.3158,,1500,0,0,0,0,15,15,300,15.7895,8.0151,15.0,OK,
cryptolab-staking-reward-collector-front-end,https://github.com/cryptolab-network/chain-data-collector,2021-04-12,2021-06-29,0.8947,,59,6,0,0,0,2,2,21,1.1053,0.5229,1.1053,OK,
