point_id,reported_pm,equivalent_ksloc,n_member_rows,member_project_ids
ae_mdw_AGG,20.08,29.859,4,ae_mdw_aug_oct_2023|ae_mdw_dec22_mar23|ae_mdw_jul_2023|ae_mdw_q2_2023
ae_node_AGG,80.1,42.511,9,ae_node_q1_2022|ae_node_q1_2023|ae_node_q2_2022|ae_node_q2_2023|ae_node_q2q4_2021|ae_node_q3_2022|ae_node_q3_2023|ae_node_q4_2022|ae_node_q4_2023
aeknow_AGG,1.0,7.192,1,aeknow_org
aeternity_sdk_AGG,13.5,25.381,7,aeternity_sdk_dec2022|aeternity_sdk_q1_2024|aeternity_sdk_q2_2023|aeternity_sdk_q2_2024|aeternity_sdk_q3_2024|aeternity_sdk_q4_2023|aeternity_sdk_q4_2024
algocash,2.25,2.02,1,algocash
ask_v01,6.9,7.915,1,ask_v01
bagpipes,9.97,1.503,1,bagpipes
dodao,18.95,2.599,1,dodao
dot_login,18.0,2.112,1,dot_login
dotcodeschool,0.95,1.445,1,dotcodeschool
dotpay,10.0,4.756,1,dotpay
dotreasury,0.95,2.365,1,dotreasury
elara,4.6,19.068,1,elara
escrow_pallet,3.0,2.127,1,escrow_pallet
fennel,9.0,6.315,1,fennel
gitorial,0.55,5.06,1,gitorial
ideal_network,13.29,24.152,1,ideal_network
ink_analyzer,2.79,37.067,1,ink_analyzer
ink_analyzer_779_AGG,5.974,15.741,2,ink_analyzer_779_main|ink_analyzer_779_vscode
kheopswap,3.16,4.825,1,kheopswap
kitdot,0.13,7.937,1,kitdot
kodadot_m2,6.0,0.897,1,kodadot_m2
megaclite,3.45,4.396,1,megaclite
octopus,7.37,8.93,1,octopus
paraspell_maint_2025_26,37.9,97.383,1,paraspell_maint_2025_26
polkascan_AGG,11.63,18.601,3,polkascan_explorer|polkascan_polkadapt|polkascan_ui
reactivedot_AGG,20.62,30.619,6,reactivedot_r1_812|reactivedot_r2_948|reactivedot_r3_1334|reactivedot_r4_1477|reactivedot_r5_1625|reactivedot_r6_1800
referendum_alert,0.25,1.57,1,referendum_alert
remarker,7.24,1.221,1,remarker
rfc_bot,0.21,0.437,1,rfc_bot
sandox_ide,16.0,2.123,1,sandox_ide
scout_poc,5.0,4.362,1,scout_poc
subsmt,3.0,2.922,1,subsmt
subsquare_maint,24.7,76.89,1,subsquare_maint
subsquare_newfeat,11.4,69.971,1,subsquare_newfeat
tdot,2.0,0.283,1,tdot
w3f_dtss,3.0,1.934,1,w3f_dtss
w3f_faucet,1.0,1.05,1,w3f_faucet
w3f_libra,6.0,6.16,1,w3f_libra
w3f_primis,4.15,5.281,1,w3f_primis
w3f_tokenguard_frontend,2.0,8.265,1,w3f_tokenguard_frontend
w3f_validators_selection,1.58,0.585,1,w3f_validators_selection
zcg_zecnam_zair,5.0,18.897,1,zcg_zecnam_zair
zgo_AGG,9.47,24.488,3,zcg_zgo_ng_2025|zcg_zenith_2025|zcg_zgo_frontend_2025
