project_id,verdict,n_delivery_files,n_evaluations,matched_app_file,app_status,terminated,app_fte,app_months,app_pm,n_app_repos,ks_per_pm,scope_flag,repo_url,planned_pm_census,commit_source,equivalent_sloc
fair_squares,DELIVERED,5,5,fair_squares.md,,,2.0,6.0,12.0,2,1.42,,https://github.com/Fair-Squares/fair-squares,12.00,cutoff,17.0135
Interstellar-Network,DELIVERED,5,6,Interstellar-Network.md,,,11.0,5.0,55.0,0,0.01,verify-frag?,https://github.com/Interstellar-Network/api_garble,55.00,cutoff,0.5015
Interstellar-Network-WP2,DELIVERED,5,6,Interstellar-Network.md,,,11.0,5.0,55.0,0,0.05,verify-frag?,https://github.com/Interstellar-Network/lib-garble-rs,55.00,cutoff,2.765
Afloat,DELIVERED,4,4,Afloat.md,,,2.0,2.99,5.98,0,0.25,,https://github.com/hashed-io/afloat-client-api,,cutoff,1.5021
hs-web3,DELIVERED,4,4,hs-web3.md,,,0.4,3.68,1.47,1,8.02,,https://github.com/airalab/hs-web3,,cutoff,11.795
KZero,DELIVERED,4,2,KZero.md,,,4.0,2.0,8.0,1,0.43,,https://github.com/kzero-xyz/kzero,,cutoff,3.4264
Libra,DELIVERED,4,4,Libra.md,,,1.5,4.0,6.0,1,0.91,,https://github.com/atscaletech/libra,,cutoff,5.4485
NewOmega,DELIVERED,4,4,newomega.md,,,2.0,2.0,4.0,1,0.25,,https://github.com/WiktorStarczewski/newomega.polkadot,4.00,commit,0.982
calamar,DELIVERED,3,2,Calamar.md,,,1.0,2.53,2.53,2,6.03,,https://github.com/topmonks/calamar,1.66,commit,15.2565
candle_auction_ink,DELIVERED,3,3,candle_auction_ink.md,,,1.0,1.0,1.0,2,0.71,,https://github.com/agryaznov/candle-auction-ink,1.00,cutoff,0.706
ces_data_store,DELIVERED,3,3,ces_data_store.md,,,2.0,3.0,6.0,2,0.11,verify-frag?,https://github.com/CESSProject/data-store-pallet,6.00,cutoff,0.6806
CESS,DELIVERED,3,3,CESS.md,,,2.0,4.0,8.0,2,0.65,,https://github.com/Cumulus2021/cess,8.00,cutoff,5.1908
cyclops,DELIVERED,3,3,cyclops.md,,,1.0,3.0,3.0,0,1.13,,https://github.com/ArthurHoeke/cyclops,3.00,cutoff,3.3952
DAOsign,DELIVERED,3,3,DAOsign.md,,,2.0,2.0,4.0,2,0.43,,https://github.com/DAOsign/polkadot-smart-contracts,4.00,cutoff,1.706
Decentralized_Threshold_Signing_Service,DELIVERED,3,1,DecentralizedThresholdSigningService.md,,,1.0,3.0,3.0,1,0.47,,https://github.com/Fiono11/decentralized_threshold_signing_service,3.00,cutoff,1.3962
fractapp,DELIVERED,3,3,fractapp.md,,,3.5,3.0,10.5,1,1.93,,https://github.com/fractapp/fractapp,10.50,cutoff,20.2475
GenesisDAO,DELIVERED,3,1,GenesisDAO.md,,,3.0,3.0,9.0,0,0.55,,https://github.com/deep-ink-ventures/genesis-dao-node,,cutoff,4.9454
ink-pallet-benchmarking,DELIVERED,3,2,ink-pallet-benchmarking.md,,,1.0,1.38,1.38,2,0.06,verify-frag?,https://github.com/Nikhil-Desai-Talentica/substrate-node-template-benchmarking,,cutoff,0.0786
pocs,DELIVERED,3,3,PoCS.md,,,3.0,3.45,10.35,1,4.63,,https://github.com/auguth/pocs,,cutoff,47.87
societal-grant,DELIVERED,3,1,societal_grant2.md,,,2.0,3.0,6.0,2,4.39,,https://github.com/sctllabs/societal-grant-2-submission,6.00,cutoff,26.3272
stable-asset,DELIVERED,3,3,stable-asset.md,,,2.0,1.0,2.0,1,2.06,,https://github.com/nutsfinance/stable-asset,2.00,cutoff,4.115
subcoin,DELIVERED,3,3,Subcoin.md,,,1.0,3.0,3.0,1,3.66,,https://github.com/subcoin-project/subcoin,3.00,cutoff,10.9936
SubIdentity,DELIVERED,3,2,SubIdentity.md,,,3.0,3.0,9.0,1,0.15,,https://github.com/TDSoftware/subidentity-webapp,9.00,cutoff,1.3399
SubsCrypt,DELIVERED,3,3,SubsCrypt.md,,,5.0,2.07,10.35,1,,,https://github.com/oxydev/SubsCrypt-solidty,,,
Substats,DELIVERED,3,2,substats.md,,,2.0,5.0,10.0,2,0.92,,https://github.com/CESSProject/substats,10.00,cutoff,9.2462
