project_id,ksloc,pm_actual,E,SF_PREC,SF_FLEX,SF_RESL,SF_TEAM,SF_PMAT,RELY,DATA,CPLX,RUSE,DOCU,TIME,STOR,PVOL,ACAP,PCAP,PCON,APEX,PLEX,LTEX,TOOL,SITE,SCED,BC_BEM,BC_DC,BC_EM_GAS,BC_EM_AUD,BC_EM_MC,BC_EM_REG,BC_EM_NODE,pm_pred
Afloat,1.578,9.0,1.0997,N,N,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,10.682
Aisland-DocSig,2.596,7.0,1.1138,N,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.785
ajuna,6.098,9.0,1.0841,N,N,N,N,H,N,N,N,N,N,N,N,N,N,N,N,N,N,N,H,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.925
ares_protocol,28.533,14.0,1.0997,N,N,N,N,N,N,N,H,N,N,N,N,H,N,N,N,N,N,N,L,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,309.08
ArtZero_InkWhale,11.752,27.0,1.0997,N,N,N,N,N,N,N,H,N,N,H,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.05,1.0,1.0,1.0,1.0,113.271
assemblyscript-scale-codec,1.4,6.0,1.0997,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.327
bit_country,21.966,42.0,1.1262,L,N,L,N,N,H,N,VH,N,N,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.2,1.2,1.0,1.1,418.748
bright_tresury,47.604,43.0,1.07,N,N,H,N,H,N,N,H,N,H,N,N,H,N,N,N,N,N,N,N,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.0,447.928
calamar,15.332,30.0,1.0841,N,N,N,N,H,N,N,H,N,N,N,N,H,N,N,N,N,N,N,H,N,N,1.0,1.1,1.0,1.0,1.0,1.0,1.1,123.523
candle_auction_ink,0.706,4.0,1.1294,N,N,L,N,L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,L,N,N,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.215
