id,repo,dur_months,full_code,burst_added,burst_added_capped,n_import_commits,window_start,window_end,equiv_sloc,equiv_ksloc,status
1,opensquare-network/subsquare,24.7,235249,520177,231580,2,2023-05-10,2025-05-31,231580,231.58,ok
2,patractlabs/ask,6.9,13597,73921,48021,1,2020-12-15,2021-06-04,48021,48.021,ok
3,BagpipesOrg/app,9.97,176151,42306,28349,2,2024-04-04,2024-12-20,28349,28.349,ok
4,opensquare-network/dotreasury,1.05,72337,155313,44165,3,2021-01-25,2021-02-25,44165,44.165,ok
5,patractlabs/megaclite,3.45,2414,9881,9881,0,2020-11-16,2021-02-04,9881,9.881,ok
6,opensquare-network/subsquare,11.4,235249,412219,117812,2,2021-07-27,2022-07-08,117812,117.812,ok
7,fennelLabs/Fennel-Protocol,3.0,10351,34570,17626,1,2023-06-06,2023-08-31,17626,17.626,ok
8,patractlabs/elara,4.6,160727,358679,1729,2,2020-09-23,2021-01-13,1729,1.729,ok
10,Remarkers/Remarkers-market,7.24,29981,28981,16794,1,2024-03-15,2024-08-09,16794,16.794,ok
11,kheopswap/kheopswap,3.16,56832,35633,21210,1,2024-07-21,2024-10-25,21210,21.21,ok
12,ink-analyzer/ink-analyzer,2.79,61600,37849,37849,0,2023-04-14,2023-07-08,37849,37.849,ok
13,iammasterbrucewayne/dotcodeschool,1.0,1959,2783,2783,0,2023-12-03,2023-12-25,2783,2.783,ok
14,pontem-network/sp-move,13.26,25448,54480,54480,0,2021-01-21,2022-02-22,54480,54.48,ok
15,skyekiwi/skyekiwi-protocol,4.0,4005,15117,15117,0,2021-05-19,2021-09-17,15117,15.117,ok
16,nutsfinance/stable-asset,1.0,4030,6397,6397,0,2021-05-10,2021-05-31,6397,6.397,ok
17,subcoin-project/subcoin,3.0,38664,23147,23147,0,2024-07-03,2024-10-02,23147,23.147,ok
18,myriadsocial/myriad-node-parachain,9.0,7843,9313,9313,0,2023-03-08,2023-11-20,9313,9.313,ok
19,ZeroDAO/melodot,6.75,48609,67299,34951,1,2023-06-11,2023-12-17,34951,34.951,ok
20,cryptoviet/gafi,13.8,18916,36901,36901,0,2021-06-20,2022-07-27,36901,36.901,ok
21,Fair-Squares/fair-squares,12.0,19906,46811,46811,0,2022-02-20,2023-02-18,46811,46.811,ok
22,WiktorStarczewski/newomega.polkadot,4.0,64970,8391,8391,0,2021-02-22,2021-04-19,8391,8.391,ok
23,Delmonicos/charger-node,3.0,4442,6864,6864,0,2021-03-05,2021-06-04,6864,6.864,ok
24,CoongCrafts/delightfuldot,9.0,87125,454126,154374,11,2023-10-07,2024-07-02,154374,154.374,ok
25,bit-country/Bit-Country-Blockchain,5.0,51225,107194,77260,2,2021-09-12,2022-02-11,77260,77.26,ok
26,eightfish-org/eightfish,4.0,3072,8235,8235,0,2023-01-09,2023-05-09,8235,8.235,ok
27,agryaznov/candle-auction-ink,1.0,862,2116,2116,0,2021-10-21,2021-11-19,2116,2.116,ok
28,inkscopexyz/inkscope-fuzzer,3.0,4589,6853,6853,0,2024-02-20,2024-05-17,6853,6.853,ok
29,Fiono11/decentralized_threshold_signing_service,3.0,10796,3547,3547,0,2025-10-11,2025-10-29,3547,3.547,ok
30,aisland-dao/docsig,2.0,31745,1318812,14226,1,2023-07-15,2023-09-08,14226,14.226,ok
31,RoloiMoney/roloi-polkadot-w3f-grant,1.0,3696,1039,1039,0,2022-07-17,2022-07-17,1039,1.039,ok
32,kzero-xyz/kzero,2.0,5309,4352,4352,0,2025-02-10,2025-02-12,4352,4.352,ok
33,atscaletech/libra,4.0,6721,5610,5610,0,2022-03-29,2022-07-20,5610,5.61,ok
34,Cumulus2021/cess,4.0,35682,206451,35805,4,2022-04-12,2022-08-09,35805,35.805,ok
35,ArthurHoeke/cyclops,3.0,32356,6681,6681,0,2023-02-20,2023-05-22,6681,6.681,ok
36,DAOsign/polkadot-smart-contracts,2.0,23053,4592,4592,0,2024-02-17,2024-03-28,4592,4.592,ok
37,fractapp/fractapp,3.0,41951,24666,24666,0,2020-12-29,2021-03-22,24666,24.666,ok
38,deep-ink-ventures/genesis-dao-node,3.0,16091,15829,15829,0,2023-06-27,2023-09-24,15829,15.829,ok
39,auguth/pocs,3.45,56155,65615,13923,3,2024-12-26,2025-03-18,13923,13.923,ok
40,TDSoftware/subidentity-webapp,3.0,19308,9272,9272,0,2022-04-22,2022-07-22,9272,9.272,ok
41,CESSProject/substats,5.0,11920,22210,22210,0,2022-11-29,2023-03-06,22210,22.21,ok
