project_id,project_name,repo_url,commit_sha,cutoff_date,since_date,subdir,planned_fte,planned_duration_months,planned_pm,cost_usd,application_url,notes
admeta,admeta,https://github.com/AdMetaNetwork/admeta,d133bce5adaa41dc2acffa8f10b63928d22751b4,2022-12-22,,,2,1,2.00,12000,github.com/w3f/Grants-Program/blob/master/applications/AdMeta.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Afloat,Afloat,https://github.com/hashed-io/afloat-client-api,,2023-02-27,,,2,,,46200,github.com/w3f/Grants-Program/blob/master/applications/Afloat.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
agridot,agridot,https://github.com/kacena123/AgriDot,c54553b96181ed2a46c53c8c3073c5fe1c4c257a,2025-01-15,,,1,4,4.00,10000,github.com/w3f/Grants-Program/blob/master/applications/AgriDot.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Aisland-DocSig,Aisland-DocSig,https://github.com/aisland-dao/docsig,,2023-10-15,,,1.5,2,3.00,9000,github.com/w3f/Grants-Program/blob/master/applications/Aisland-DocSig.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ajuna,ajuna,https://github.com/ajuna-network/Ajuna.SDK,,2023-03-10,,,1,4,4.00,25,github.com/w3f/Grants-Program/blob/master/applications/ajuna_network_follow_up.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
AlgoCash,AlgoCash,https://github.com/ReserveLabs/AlgoCash,,2021-06-30,,,1.5,,,5000,github.com/w3f/Grants-Program/blob/master/applications/AlgoCash.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,anagolay-project-idiyanale-multi-token-community-contributions-for-verified-creators,https://github.com/anagolay/anagolay-chain,3bfaa83146555ffe6e4203b4d21d80b73ae0a0d8,2023-02-03,,,2,,,27500,github.com/w3f/Grants-Program/blob/master/applications/anagolay-project-idiyanale-phase-1.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
anagolay-project-idiyanale-phase,anagolay-project-idiyanale-phase,https://github.com/anagolay/w3f-grant-support-repo,,2022-05-30,,,2,,,27500,github.com/w3f/Grants-Program/blob/master/applications/anagolay-project-idiyanale-phase-1.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
anchor,anchor,https://github.com/ff13dfly/Anchor,,2023-03-13,,,1,1,1.00,6000,github.com/w3f/Grants-Program/blob/master/applications/Anchor.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
apron-network,apron-network,https://github.com/Apron-Network/apron-node,,2021-03-09,,,4,3,12.00,0,github.com/w3f/Grants-Program/blob/master/applications/Apron_Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ares_protocol,ares_protocol,https://github.com/aresprotocols/ares-module,,2021-03-09,,,1.5,,,0,github.com/w3f/Grants-Program/blob/master/applications/ares_protocol.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
ArtZero_InkWhale,ArtZero_InkWhale,https://github.com/ArtZero-io/Contracts,,2023-04-01,,,5,4,20.00,30000,github.com/w3f/Grants-Program/blob/master/applications/ArtZero_InkWhale.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
assemblyscript-scale-codec,assemblyscript-scale-codec,https://github.com/LimeChain/as-scale-codec,,2020-06-08,,,,3.5,,12500,github.com/w3f/Grants-Program/blob/master/applications/scale-codec-comparator.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Awesome-Polka,Awesome-Polka,https://github.com/tolgayayci/awesome-polka,,2023-05-08,,,1,,,10000,github.com/w3f/Grants-Program/blob/master/applications/Awesome-Polka.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
BandersnatchVRF,BandersnatchVRF,https://github.com/Esscrypt/bandersnatch-vrf,,2025-12-19,,,1,,,20000,github.com/w3f/Grants-Program/blob/master/applications/BandersnatchVRF.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
bit_country,bit_country,https://github.com/bit-country/Bit-Country-Blockchain,,2021-12-07,,,5,1,5.00,,github.com/w3f/Grants-Program/blob/master/applications/bit_country.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
blackprint_js,blackprint_js,https://github.com/Blackprint/Blackprint,,2022-09-01,,,1,,,9200,github.com/w3f/Grants-Program/blob/master/applications/blackprint-js.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
bright_tresury,bright_tresury,https://github.com/bright/bright-tresury,,2021-12-29,,,,,,,,census auto-harvested; primary=substantive own-org rule; grouped by slug
calamar,calamar,https://github.com/topmonks/calamar,76954c810465eafaab7755d7c19308cc36726d17,2024-01-02,,,0.83,2,1.66,25000,github.com/w3f/Grants-Program/blob/master/applications/Plutonication.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
candle_auction_ink,candle_auction_ink,https://github.com/agryaznov/candle-auction-ink,,2022-03-09,,,1,1,1.00,,github.com/w3f/Grants-Program/blob/master/applications/candle_auction_ink.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
canyon_network_phrase,canyon_network_phrase,https://github.com/canyon-network/canyon,,2021-08-27,,,1,1.5,1.50,15000,github.com/w3f/Grants-Program/blob/master/applications/canyon_network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
centrifuge-gsrpc-v2,centrifuge-gsrpc-v2,https://github.com/centrifuge/go-substrate-rpc-client,,2023-06-29,,,1.5,,,75000,github.com/w3f/Grants-Program/blob/master/applications/centrifuge-twamm.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
Cere_Turnkey_Private_Blockchain_Network,Cere_Turnkey_Private_Blockchain_Network,https://github.com/Cerebellum-Network/private-standalone-network-node,,2021-01-16,,,,,,1,github.com/w3f/Grants-Program/blob/master/applications/Cere_Turnkey_Private_Blockchain_Network.md,census auto-harvested; primary=substantive own-org rule; grouped by slug
