team,file,total_hours,pm_152,method
Polkascan,kusama/referendum-83-report-20230718.md,428,2.82,sum_section_totals(264+164)
Polkascan,kusama/treasury-proposal-164-report-20220912.md,,,NO_HOURS_FOUND
Polkascan,kusama/treasury-proposal-173-report-20220912.md,240,1.58,sum_table_totals(240)
Polkascan,kusama/treasury-proposal-214-report-20230110.md,326,2.14,sum_category_rows(2 rows=30+296)
Polkascan,kusama/treasury-proposal-57-report-20210111.md,139,0.91,sum_category_rows(5 rows=16+40+40+24+19)
Polkascan,kusama/treasury-proposal-57-report-20210216.md,289,1.9,sum_category_rows(12 rows=14+10+31+8+14+85+16+36+30+5+24+16)
Polkascan,polkadot/treasury-proposal-008-report-202010.md,142,0.93,sum_category_rows(4 rows=10+46+49+37)
Polkascan,polkadot/treasury-proposal-008-report-202011.md,136,0.89,sum_category_rows(4 rows=52+30+34+20)
Polkascan,polkadot/treasury-proposal-008-report-202012.md,138,0.91,sum_category_rows(4 rows=28+14+20+76)
Polkascan,polkadot/treasury-proposal-008-report-202101.md,139,0.91,sum_category_rows(4 rows=11+78+42+8)
Polkascan,polkadot/treasury-proposal-008-report-202102.md,130,0.86,sum_category_rows(4 rows=12+54+50+14)
Polkascan,polkadot/treasury-proposal-008-report-202103.md,152,1.0,sum_category_rows(4 rows=20+36+40+56)
Polkascan,polkadot/treasury-proposal-008-report-202104.md,128,0.84,sum_category_rows(4 rows=6+37+72+13)
Polkascan,polkadot/treasury-proposal-008-report-202105.md,132,0.87,sum_category_rows(4 rows=16+22+51+43)
Polkascan,polkadot/treasury-proposal-008-report-202106.md,141,0.93,sum_category_rows(4 rows=12+33+96+0)
Polkascan,polkadot/treasury-proposal-008-report-202107.md,162,1.07,sum_category_rows(4 rows=36+22+104+0)
Polkascan,polkadot/treasury-proposal-008-report-202108.md,136,0.89,sum_category_rows(4 rows=24+22+90+0)
Polkascan,polkadot/treasury-proposal-008-report-202109.md,139,0.91,sum_category_rows(4 rows=104+11+20+4)
Polkascan,polkadot/treasury-proposal-008-report-2021Q4.md,382,2.51,sum_category_rows(4 rows=56+84+110+132)
Polkascan,polkadot/treasury-proposal-008-report-2022Q1.md,92,0.61,sum_category_rows(3 rows=5+82+5)
Polkascan,polkadot/treasury-proposal-008-report-2022Q2.md,59,0.39,sum_category_rows(3 rows=18+19+22)
Polkascan,polkadot/treasury-proposal-008-report-2022Q3.md,91,0.6,sum_category_rows(3 rows=15+33+43)
Polkascan,polkadot/treasury-proposal-008-report-2022Q4.md,174,1.14,sum_category_rows(3 rows=36+73+65)
Polkascan,polkadot/treasury-proposal-008-report-2023Q1.md,202,1.33,sum_category_rows(3 rows=39+78+85)
Polkascan,polkadot/treasury-proposal-008-report-2023Q2-Q3.md,164,1.08,sum_category_rows(6 rows=29+36+34+18+24+23)
Polkascan,polkadot/treasury-proposal-008-report-2023Q4.md,127,0.84,sum_category_rows(3 rows=20+57+50)
Polkascan,polkadot/treasury-proposal-008-report-2024Q1.md,65,0.43,sum_category_rows(3 rows=20+13+32)
Stakeworld,2023-Q1-maintenance.md,27,0.18,sum_devhours(3x5+3x4)
Stakeworld,2023-Q2-kusama-maintenance-innovation.md,87,0.57,sum_devhours(20+3x12+3x4+10+3x3)
Stakeworld,2023-Q2-polkadot.md,62,0.41,sum_devhours(12+3x12+5+3x3)
Stakeworld,2023-Q3-kusama-2.md,30,0.2,sum_devhours(3x10)
Stakeworld,2023-Q3-kusama.md,45,0.3,sum_devhours(3x12+3x3)
Stakeworld,2023-Q3-polkadot.md,18,0.12,sum_devhours(3x6)
Stakeworld,2023-Q4.kusama.md,12,0.08,sum_devhours(3x4)
Stakeworld,Q3-setup-maintenance.md,38,0.25,sum_devhours(20+3x4+3x2)
Stakeworld,Q4-RPC-setup-maintenance.md,8,0.05,sum_devhours(2x4)
Stakeworld,Q4-maintenance.md,18,0.12,sum_devhours(3x4+3x2)
