network,proposal_type,post_id,title,requested_dot,proposer,planned_fte,planned_duration_months,team_size,documented_pm_explicit,sum_milestone_duration_months,n_github_repos,github_repos,url,status
polkadot,treasury_proposals,1903,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1899,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1898,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1897,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1896,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1891,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1902,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1901,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1900,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1895,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1894,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1893,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1892,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1890,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1889,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1888,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1887,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1886,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1885,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1884,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1883,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1882,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1881,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1880,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1879,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1878,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1877,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1876,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1875,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1874,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1873,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1872,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1871,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1870,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1869,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1868,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1867,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1866,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1865,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1864,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1863,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1862,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1861,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1860,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1859,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1858,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1857,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1856,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1855,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1854,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1853,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1852,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1851,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1850,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1849,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1848,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1847,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1846,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1845,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1844,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1843,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1842,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1841,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1840,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1839,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1838,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1837,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1836,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1835,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1834,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1833,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1832,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1831,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1830,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1829,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1828,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1827,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1826,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1825,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1824,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1823,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1822,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1821,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1820,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1819,,,,,,,,,,,,NO_DETAIL
polkadot,treasury_proposals,1818,,,,,,,,,,,,NO_DETAIL
